"%s already exist","%s ইতিমধ্যেই বর্তমান"
"%s already exists","%s ইতিমধ্যেই বর্তমান"
"-- Please Select --","-- অনুগ্রহ করে নির্বাচন করুন --"
"System","ব্যবস্থা"
"System Log File Name","System Log File Name"
"Template Path Hints","Template Path Hints"
"Templates","টেম্পলেটগুলো"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Themes"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","This category only"
"This is a required field.","This is a required field."
"This store cannot be deleted","এই দোকানটি মুছা যাবে না"
"This store cannot be deleted.","এই দোকানটি মুছা যাবে না।"
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","এই ওয়েব সাইটটি মুছা যাবে না"
"This website cannot be deleted.","এই ওয়েব সাইটটি মুছা যাবে না।"
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","টাইমজোন"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translate Inline","Translate Inline"
"Translations","অনুবাদগুলো"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","দোকানটি মুছা যাচ্ছে না। অনুগ্রহ করে পরে আবার চেষ্টা করুন।"
"Unable to delete website. Please, try again later.","ওয়েব সাইটটি মুছা যাচ্ছে না। অনুগ্রহ করে পরে আবার চেষ্টা করুন।"
"Unable to proceed. Please, try again","কাজটি সম্পন্ন করা যাচ্ছে না। অনুগ্রহ করে পরে আবার চেষ্টা করুন।"
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","অনিরাপদ"
"Url Options","Url Options"
"Use custom admin URL","Use custom admin URL"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Web","ওয়েব"
"Website","ওয়েব সাইট"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website doesn't exist","ওয়েব সাইটটি খুজেঁ পাওয়া যাচ্ছে না"
"Website Information","ওয়েব সাইটের তথ্য"
"Website Name","ওয়েব সাইটের নাম"
"Website was successfully deleted.","ওয়েব সাইটটি মুছে ফেলা হয়েছে।"
"Website was successfully saved","ওয়েব সাইটটি সংরক্ষন করা হয়েছে"
"Website with the same code","Website with the same code"
"Weekend Days","সপ্তাহের কর্মদিবস"
"Welcome Text","স্বাগতম বার্তা"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","আপনার সেশনের আয়ুস্কাল পূর্ন হয়েছে, আপনাকে তাই পুনরায় লগইন করানো হচ্ছে"
"Post","বিনামুল্যে"
"FREE Ads","বিজ্ঞাপন দিন"
"Excellence Through Simplest Technologies","উৎকর্ষে অনন্য, প্রযুক্তি সামান্য"
"BETA","বেটা ভার্সন"
"Advanced Search","উন্নত অনুসন্ধান"
"Sign Up","সাইন আপ"
Home,হোম
"Privacy Policy","গোপনীয়তার নীতিমালা"
"About Us","আমাদের সম্পর্কে"
"Contact Us","যোগাযোগ"
"Follow Us","আমাদের সংগে থাকুন"
"Powered by","পরিচালনায়"
"ABAC Technologies Ltd","এব্যাক টেকনোলজিস লিমিটেড"
"Copyright © 2013. All rights reserved.","কপিরাইট © ২০১৩। সকল অধিকার সংরক্ষিত।"
